Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,85.14,9.09,83.52,26.15,,0.28,37.26,,-86.89,-0.01,0.22,,126.2,34.77,28.60839,-80.60011,,,,,,,,,,,,99.85,294.11,
2,171.21,9.47,87.69,26.17,,0.27,33.76,,-79.71,0.01,0.47,,200.18,140.04,28.60838,-80.60119,,,,,,,,,,,,98.99,293.73,
3,260.87,9.75,90.79,26.21,,0.26,31.52,,-71.89,0.01,0.73,,316.4,322.94,28.60838,-80.60306,,,,,,,,,,,,97.64,293.11,
4,350.15,9.43,87.93,26.24,,0.24,29.92,,-63.21,0,0.99,,472.63,587.04,28.60837,-80.60576,,,,,,,,,,,,95.86,340.79,
5.02,426.03,7.85,72.8,26.29,,0.23,28.61,,-57.75,0,1.22,,666.47,933.91,28.60835,-80.60932,,,,,,,,,,,,93.67,418.02,
6.04,505.44,8.62,80.45,26.33,,0.22,27.5,,-57.38,0,1.46,,889.58,1353.43,28.60833,-80.61362,,,,,,,,,,,,91.21,496.66,
7.04,541.56,2.35,28.86,0,,0.21,26.55,,-56.07,0,1.61,,1133.69,1832.6,28.60831,-80.61852,,,,,,,,,,,,88.58,546.46,
8.06,503.13,3.11,35.86,0,,0.16,25.55,,-62.97,0,1.49,,1367.03,2309.98,28.60829,-80.62341,,,,,,,,,,,,86.12,506.89,
9.06,488.91,0.06,9.6,4.57,,0.16,24.52,,-66.29,0,1.44,,1575.32,2756.09,28.60827,-80.62798,,,,,,,,,,,,83.98,489.28,
10.06,486.16,0.15,9.34,4.57,,0.16,23.46,,-67.77,0,1.44,,1773.35,3201.35,28.60825,-80.63254,,,,,,,,,,,,81.98,486.41,
11.06,484.36,0.23,9.21,4.57,,0.15,22.39,,-68.43,0,1.44,,1962.2,3648.11,28.60823,-80.63712,,,,,,,,,,,,80.11,484.52,
12.06,483.43,0.3,9.18,4.57,,0.15,21.31,,-68.74,0,1.43,,2142.13,4097.07,28.60821,-80.64172,,,,,,,,,,,,78.37,483.49,
13.08,483.26,0.35,9.22,4.57,,0.15,20.2,,-68.88,0,1.44,,2316.65,4557.92,28.60819,-80.64644,,,,,,,,,,,,76.71,483.24,
14.1,483.81,0.41,9.31,4.57,,0.15,19.08,,-68.94,0,1.44,,2482.23,5022.26,28.60816,-80.6512,,,,,,,,,,,,75.16,483.72,
15.12,485,0.45,9.44,4.58,,0.15,17.95,,-68.97,0,1.44,,2638.97,5490.6,28.60814,-80.656,,,,,,,,,,,,73.72,484.84,
16.14,486.74,0.48,9.59,4.58,,0.14,16.83,,-68.98,0,1.45,,2786.91,5963.36,28.60812,-80.66084,,,,,,,,,,,,72.39,486.53,
17.16,488.98,0.51,9.74,4.58,,0.14,15.69,,-68.98,0,1.46,,2926.06,6440.88,28.60809,-80.66573,,,,,,,,,,,,71.15,488.72,
18.18,491.64,0.53,9.89,4.58,,0.14,14.56,,-68.97,0,1.47,,3056.41,6923.47,28.60807,-80.67067,,,,,,,,,,,,70,491.33,
19.2,494.66,0.55,10.03,4.58,,0.14,13.43,,-68.96,0,1.48,,3177.91,7411.35,28.60804,-80.67567,,,,,,,,,,,,68.95,494.32,
20.22,497.99,0.56,10.16,4.58,,0.14,12.3,,-68.96,0,1.49,,3290.49,7904.67,28.60802,-80.68072,,,,,,,,,,,,67.99,497.61,
21.24,501.55,0.56,10.28,4.58,,0.13,11.18,,-68.95,0,1.5,,3394.06,8403.55,28.60799,-80.68583,,,,,,,,,,,,67.11,501.16,
