TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ;MACH;TEMP_K;AIRDENS;PRESS_PA;THRUST;ACCX;ACCY;ACCZ;SENSORSPRES;SENSORSTEMP;GRAVX;GRAVY;GRAVZ
00:00:00;97.7007584413514;28.6083889007568;-80.5997467041016;0.297465413808823;3.85180419417598E-12;90.0038757324219;-9.7250381259073E-07;0.491227796951279;0.0831803650780556;-0.000441340525867417;2.85796813841444E-05;0.00358741218224168;-0.000589455768931657;0.00210957438685;-0.000547114119399339;0.00147929825024161;282.250122070313;1.23621962341498;100161.170959473;26.1465101242065;1.08816126804121;0.586692073583723;0.134276720720678;100.191596984863;289.44260948414;-8.20064820120402;-4.70199212081176;-2.65933081766873
00:00:00;140.138516578823;28.6083889007568;-80.5998306274414;0.283616274595261;0.031138571424959;90.2734069824219;2.91751143777219E-06;80.1387363135311;16.9885216444373;0.00291302893310785;-0.00488248700276017;0.029769791290164;-0.070064552128315;-0.0164703391492367;-0.00665653636679053;0.243281076037678;282.138092041016;1.23051419049288;99659.3322753906;26.1578559875488;70.4126238190844;36.9410091272178;3.51412505172094;99.7061920166016;289.443509212457;-8.20054306997242;-4.70192944419448;-2.65928276293629
00:00:02;267.202382358722;28.6083889007568;-80.6001205444336;0.269767165184021;0.144148063329158;90.3358764648438;-9.7250381259073E-07;163.237035436742;37.7602513744151;0.00349995400756598;-0.0115459561347961;0.0221868921071291;-0.156379744410515;-0.0669950395822525;-0.0109473541378975;0.49788174079837;281.790191650391;1.21362091613911;98169.9447631836;26.1919059753418;74.0726261211549;38.6518548719526;2.23653340856406;98.2352447509766;289.451350627499;-8.2002296359404;-4.70174169176592;-2.65913496142003
00:00:03;482.520928950049;28.6083850860596;-80.6006469726563;0.255918025970459;0.344459416478291;90.3572616577148;-3.89001479561557E-06;249.613495012314;60.7496831461342;0.00505319377407432;-0.00851208344101906;0.0140427891165018;-0.116311140358448;-0.0506987832486629;-0.0061021326109767;0.764255696834592;281.158966064453;1.18562616966569;95690.6127929688;26.2445974349976;77.0151749592496;39.9807766507998;1.2123384738779;95.7738494873047;289.468146305309;-8.19970002594569;-4.70142349055762;-2.65888006585426
00:00:04;788.265595627017;28.6083812713623;-80.6014251708984;0.242068886756897;0.621894608617954;90.3492431640625;0;335.957349763378;84.7262185062612;0.00585227273404598;-0.0114687904715538;0.00987389124929905;-0.155325964093208;-0.0732526853680611;-0.00595881789922714;1.03254631228449;280.175720214844;1.14718099813616;92263.9541625977;26.3085880279541;75.2884521604811;38.9465003491512;0.30105335094953;92.3633728027344;289.503498754255;-8.19894955463968;-4.70097166943003;-2.65851372381457
00:00:05;1176.84768733662;28.6083755493164;-80.6024475097656;0.228219762444496;0.901512578272023;90.3416213989258;3.89001479561557E-06;408.389094444441;105.924445272137;0.00569386081770062;-0.00368912774138153;0.00792930647730827;-0.0525451935827732;-0.0206747744232416;-0.0021554590202868;1.26045488250115;278.786499023438;1.10039611609323;88062.3779296875;26.3734655380249;62.6491678192684;32.2664524242485;-0.727456186418034;88.1729507446289;289.726046522297;-8.1979973423926;-4.70039751316172;-2.65804379922227
00:00:06;1641.26703741029;28.6083698272705;-80.6036987304688;0.214370623230934;1.2187431790082;90.3204650878906;1.94500717043411E-06;484.671880952818;128.712735061094;0.00547668663784862;-0.00212140358053148;0.00646880967542529;-0.0312643237411976;-0.0103953201323748;-0.00106256932485849;1.50317023588901;276.935577392578;1.04730563083587;83257.2021484375;26.4302253723145;70.2796597245088;36.1761394585761;-1.05334518596534;83.377685546875;290.203507632492;-8.1968609625941;-4.69971145466955;-2.65747779101998
00:00:08;2677.19417658634;28.6083545684814;-80.606575012207;0.158892348408699;1.0508288346343;90.327880859375;9.72503357843379E-07;462.440309213729;128.186692524861;0.00248233787715435;0.00246401340700686;0.00378372450359166;0.0418296083807945;0.0283815786242485;-0.000673874979838729;1.45103201153367;272.151031494141;0.938818432119468;73343.4295654297;4.57541942596436;-28.7735899065721;-15.4127414663921;-2.88336959310567;73.4457702636719;291.973356432123;-8.19433117835404;-4.69818174597679;-2.65620285797614
00:00:09;3155.44501143787;28.6083469390869;-80.6079483032227;0.156843394041061;0.970558808714282;90.3355712890625;-9.72503357843379E-07;457.633558294066;129.783056885619;0.00226908666081727;0.00121478887740523;0.0036700835917145;0.0193685702979565;0.0164197832345963;-0.000893961812835187;1.44491149126767;269.681335449219;0.89285401258816;69119.5602416992;4.57669925689697;-2.94051685286424;-2.0210792837187;-2.69260823004937;69.2159881591797;292.836406207061;-8.1931657866262;-4.6974757234954;-2.65560807109873
00:00:10;3629.49960938282;28.608341217041;-80.6093368530273;0.154794454574585;0.912465539871291;90.346923828125;-9.72503357843379E-07;454.313556374766;131.837145258852;0.002261892426759;0.000622227729763836;0.0038312787655741;0.008569510653615;0.0110249482095242;-0.00102429382968694;1.44386856139031;267.098754882813;0.849557812647426;65138.0004882813;4.57663536071777;-1.65636774592231;-1.3632055267973;-2.72988180338775;65.2291259765625;293.624189404836;-8.1920123582362;-4.69677599241261;-2.65501416162556
