Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,88.91,9.79,86.46,26.16,,0.26,78.14,,-87.12,0,0.23,,143.88,9.26,28.60839,-80.59985,,,,,,,,,,,,99.66,294.03,
2,178.42,10.23,90.84,26.19,,0.25,77.24,,-80.19,0,0.49,,274.94,38.12,28.60839,-80.60014,,,,,,,,,,,,98.15,293.34,
3,271.65,10.55,93.99,26.25,,0.24,76.66,,-72.47,0,0.76,,494.82,89.3,28.60839,-80.60067,,,,,,,,,,,,95.64,292.13,
4.02,364.52,9.84,87.02,26.31,,0.22,76.23,,-63.65,0,1.04,,812.1,165.95,28.60838,-80.60145,,,,,,,,,,,,92.1,355.38,
5.02,441.37,8.86,77.44,26.38,,0.21,75.89,,-58.98,0,1.27,,1203.87,263.3,28.60838,-80.60245,,,,,,,,,,,,87.89,432.7,
6.02,525.12,9.6,84.66,26.43,,0.2,75.6,,-57.31,0,1.52,,1672.7,382.49,28.60837,-80.60367,,,,,,,,,,,,83.07,515.84,
7.04,562.81,2.54,34.43,0,,0.19,75.34,,-54.15,0,1.69,,2225.58,525.81,28.60836,-80.60514,,,,,,,,,,,,77.66,568.65,
8.06,516.7,3.31,41.99,0,,0.14,75.07,,-60.06,0,1.55,,2756.39,665.95,28.60835,-80.60658,,,,,,,,,,,,72.74,521.21,
9.08,499.22,0.49,5.37,4.58,,0.14,74.76,,-63.36,0,1.5,,3252.45,799.65,28.60834,-80.60795,,,,,,,,,,,,68.39,499.71,
10.08,495.85,0.67,3.89,4.58,,0.13,74.45,,-64.98,0,1.49,,3731.95,931.64,28.60833,-80.6093,,,,,,,,,,,,64.4,496.14,
11.08,494.17,0.84,2.98,4.58,,0.13,74.14,,-65.83,0,1.5,,4208.32,1065.56,28.60832,-80.61067,,,,,,,,,,,,60.63,494.28,
