TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ;MACH;TEMP_K;AIRDENS;PRESS_PA;THRUST
00:00:00;97.8606900218874;28.6083889007568;-80.5997467041016;0.22746542096138;6.31940104867052E-12;90.0040588378906;9.7250381259073E-07;0.716411790979649;0.122322075011949;-0.00112719612661749;-1.99018286366481E-05;0.00239018118008971;-0.000949821434915066;0.00109835353214294;-0.000804450479336083;0.00215792895260142;282.249694824219;1.2361981419179;100159.278869629;26.1465539932251
00:00:00;154.98593026679;28.6083889007568;-80.5998611450195;0.213616281747818;0.0562902144236352;90.2406005859375;-2.91751143777219E-06;108.067408919674;22.0096297485767;0.00271871476434171;-0.0158439930528402;0.0196268577128649;-0.212676122784615;-0.0990830510854721;0.010879460722208;0.327545034323015;282.098388671875;1.22852561458172;99484.2758178711;26.1617565155029
00:00:02;326.980429773219;28.6083869934082;-80.6002349853516;0.199767157435417;0.262034611852628;90.2940673828125;0;221.47607429339;48.1205635223744;0.00664879800751805;-0.0272914972156286;0.0137293441221118;-0.370499730110168;-0.185488939285278;0.0250991322100163;0.673693607749323;281.620147705078;1.2057702117821;97476.0437011719;26.2068719863892
00:00:03;618.750990270637;28.6083831787109;-80.6008987426758;0.185918018221855;0.615928307773755;90.2940673828125;-9.72503698903893E-07;336.588166600855;75.9920834694952;0.00899502355605364;-0.0391212217509747;0.00616415636613965;-0.530560553073883;-0.272792249917984;0.0415163934230804;1.02730373205563;280.733215332031;1.16831145403103;94150.3753662109;26.2742357254028
00:00:04;1019.96362637449;28.6083793640137;-80.6018371582031;0.172068893909454;0.998394833980334;90.32080078125;-9.72503698903893E-07;431.161946175036;100.154961208179;0.00911693647503853;-0.0462848842144012;-0.000420147698605433;-0.635156273841858;-0.328812330961227;0.0541809275746346;1.32104319339577;279.365570068359;1.11901557349589;89738.4643554688;26.3490180969238
00:00:05;1521.00622918736;28.6083736419678;-80.6030502319336;0.158219754695892;1.45328791712862;90.3988571166992;-5.83502151130233E-06;530.89040899362;126.194626777301;0.00538618909195066;-0.0509068630635738;-0.00490108272060752;-0.704720616340637;-0.366171777248383;0.0640143305063248;1.63422449463154;277.433837890625;1.06077084948055;84479.362487793;26.4171800613403
00:00:06;2124.02280891314;28.608362197876;-80.6045303344727;0.144370630383492;1.91825398829678;90.499267578125;1.94500694306043E-06;625.619827864706;151.458684800135;-0.000465926161268726;-0.0554518923163414;-0.00573200127109885;-0.774653673171997;-0.40323469042778;0.0744025185704231;1.93692467710757;274.810699462891;0.99513348381278;78502.7008056641;26.4693670272827
00:00:08;3412.12483710703;28.6083374023438;-80.6077728271484;0.0889317467808723;1.35570161490187;90.5293579101563;-9.72503357843379E-07;546.275064942723;136.725119274949;-0.00305231031961739;-0.00906168203800917;-0.000835136859677732;-0.170072495937347;-0.0844575166702271;0.0174926221370697;1.71493351467808;268.29833984375;0.869143693259036;66938.9953613281;0
00:00:09;3948.47913345043;28.608325958252;-80.6091613769531;0.0889317467808723;1.02386798910599;90.5101928710938;9.72503357843379E-07;488.517591957482;124.743267951766;-0.00362747791223228;-0.00440432783216238;-0.000484083837363869;-0.0839707478880882;-0.038509089499712;0.00871628802269697;1.54412584653145;265.295654296875;0.821596807835624;62568.8972473145;0
00:00:10;4430.87211633753;28.6083164215088;-80.6104354858398;0.0889317467808723;0.795244986033669;90.4943237304688;1.94500648831308E-06;441.448472107994;115.264426135037;-0.00411616778001189;-0.00233152136206627;-0.000267728144535795;-0.0458105616271496;-0.0177859961986542;0.00463980622589588;1.40475581469083;262.484375;0.780966773454481;58844.4671630859;0
00:00:11;4867.54877569806;28.6083068847656;-80.6116180419922;0.0889317467808723;0.623726517830107;90.4815063476563;-9.72503130469704E-07;399.224202693645;106.835027252332;-0.00464639626443386;-0.00132494792342186;-0.000136817558086477;-0.0274704098701477;-0.00738217309117317;0.00254333554767072;1.27882524906748;259.867370605469;0.745786514731878;55633.4381103516;0
00:00:12;5260.24189861771;28.6082992553711;-80.6127090454102;0.0889317467808723;0.480908061084643;90.4717102050781;2.91750870928809E-06;356.956741491109;98.1687537009352;-0.00530912959948182;-0.000802615308202803;-5.3994564950699E-05;-0.0182002745568752;-0.00153219408821315;0.00136010558344424;1.15089763834471;257.46875;0.715352357155589;52870.5902099609;0
00:00:13;5610.93599463906;28.6082916259766;-80.6137084960938;0.0889317467808723;0.372231722809888;90.4650192260742;-3.89001161238411E-06;319.861749374816;90.6936242992923;-0.00607017707079649;-0.000515529303811491;1.4431468116527E-05;-0.0133557170629501;0.00214738491922617;0.000643599370960146;1.03795680903092;255.300079345703;0.689075492978055;50499.5346069336;0
00:00:14;5929.18801014032;28.6082859039307;-80.6146469116211;0.0889317467808723;0.304348401318533;90.4609680175781;2.91750825454073E-06;294.347221393395;86.3089417989763;-0.00677763950079679;-0.000346512533724308;7.15775313437916E-05;-0.0106675643473864;0.00461679184809327;0.000175010718521662;0.96136714506791;253.317413330078;0.665926766951814;48424.0531921387;0
00:00:15;6225.02917774953;28.6082782745361;-80.6155548095703;0.0889317467808723;0.259272830399421;90.4562149047852;3.89001161238411E-06;275.581847594365;83.7723435518743;-0.00744752259925008;-0.000238161999732256;0.000129043575725518;-0.00908028334379196;0.00645411666482687;-0.00015328056178987;0.906051775246717;251.467346191406;0.644974349022927;46557.9299926758;0
