TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ;MACH;TEMP_K;AIRDENS;PRESS_PA;THRUST;ACCX;ACCY;ACCZ;SENSORSPRES;SENSORSTEMP;GRAVX;GRAVY;GRAVZ;MACH_FERRAM;CL_FERRAM;CD_FERRAM;Q_FERRAM;REFAREA_FERRAM;AOA_FERRAM;AOS_FERRAM;AEROFORCE_X_FERRAM;AEROFORCE_Y_FERRAM;AEROFORCE_Z_FERRAM
00:00:00;97.8316405210644;28.6083869934082;-80.5997543334961;0.435999095439911;2.33076230228568E-09;96.5852661132813;-2.91751121039852E-06;1.49040241130486;0.203144576231122;-0.031470350921154;0.000170416489709169;0.00296917255036533;0.00305387983098626;0.00117387459613383;-0.012354951351881;0.0108164221220791;282.249755859375;1.23620211199529;100159.622192383;52.2930784225464;3.33621907055941;1.70097303453272;0.419418241848573;100.191917419434;288.587947818051;-8.32576352008088;-4.70199161799958;-2.23703596972491;5.80285788784384E-05;0;0;2.71240072441613E-07;0.167120533524729;88.8388729915492;-89.0859262702511;0;0;0
00:00:01;161.411796040833;28.6083755493164;-80.599853515625;0.407768189907074;0.0660174962851755;98.0918045043945;3.89001434086822E-06;117.52380378498;19.3295091297221;0.0201857816427946;-0.00847235042601824;0.00958598591387272;-0.0874319225549698;-0.0387184135615826;0.000462369411252439;0.360563406048446;282.081146240234;1.22766613390954;99408.5998535156;52.3269300460815;101.146984783132;50.782472279707;6.49539280504228;99.4657516479492;288.59117409133;-8.32560230078493;-4.70189595709248;-2.23697670896316;0.309957412371613;0.00347078555241863;0.00981914028608158;6.40763924201445;0.167120533524729;0.0265348723274271;0.0576316918515652;-0.00884292833507061;-0.00711367186158895;0.007758101914078
00:00:02;352.084917509928;28.6083354949951;-80.6001815795898;0.379537254571915;0.305595408170361;97.9149169921875;-1.94500648831308E-06;241.085356778749;41.9962862069908;0.00108924403320998;-0.0146474568173289;0.0111937010660768;-0.156799286603928;-0.0744801983237267;-0.0118869403377175;0.734730030793525;281.547546386719;1.20249132196283;97185.9130859375;52.4261035919189;107.726980588787;53.9983010183223;6.12611795797705;97.2702484130859;288.610054567966;-8.32512004854545;-4.70160851241883;-2.23679573112239;0.674361372448717;0.00162311030510274;0.0513601479644526;30.3342982836108;0.167120533524729;0.000210353979722643;0.0112030669463375;-0.234850019216537;-0.116358071565628;0.0187684800475836
00:00:03;675.400083481334;28.6082649230957;-80.6007690429688;0.351306319236755;0.709568453670956;97.932731628418;-4.86251337861177E-06;364.544066515847;65.4438613817099;0.00190551078412682;-0.00864272005856037;0.00573182199150324;-0.0933649316430092;-0.0444460995495319;-0.00634486973285675;1.10941676305732;280.55029296875;1.16119951122424;93516.2734985351;52.571813583374;102.253048086724;51.1579139004836;5.3134068280894;93.6251525878906;288.666713539891;-8.32430352783378;-4.70112069055808;-2.23648574924896;1.04739420456492;0.00121124055763644;0.22970880243386;71.0519128474275;0.167120533524729;-4.54789494497527E-05;-0.00632330276855336;-2.44172358512878;-1.21424400806427;-0.0913674235343933
00:00:04;1120.80192566849;28.6081638336182;-80.6015853881836;0.323075413703918;1.17213884217795;97.9219970703125;-2.91750529868295E-06;475.026019010443;86.8504679702128;0.0012838204856962;-0.00322186504490674;0.00495661143213511;-0.0359758175909519;-0.0158983245491982;-0.00267938151955605;1.44881962798509;278.996124267578;1.10700695248175;88658.0429077148;52.7293787002563;97.4999970479994;48.7925399571775;4.89570295013358;88.7853317260742;289.004333523447;-8.32317979115541;-4.70044842037833;-2.23605618010598;1.38238242662077;0.00126393627684957;0.243202409431436;117.766528947847;0.167120533524729;-0.000167838681099069;-0.00831706601964847;-4.29035329818726;-2.12072610855103;-0.146205186843872
00:00:05;1686.9175849678;28.6080360412598;-80.6026458740234;0.294844478368759;1.73086497098083;97.8882446289063;9.72500401985599E-07;590.416771466171;109.15183695199;0.000796887848991901;-0.00699609192088246;0.00350998202338815;-0.0780792608857155;-0.0377738326787949;-0.0051071303896606;1.80693282280052;276.743103027344;1.04224437213861;82797.2640991211;52.8686952590942;98.0748163868628;49.2039575990299;5.00778904184345;82.9402313232422;289.768925304205;-8.3217525321456;-4.69959392822116;-2.23550819341419;1.73803396580068;0.00129772344499942;0.267698427921233;174.284998187458;0.167120533524729;-3.00304809771335E-05;-0.00720823915907173;-6.9924464225769;-3.44646024703979;-0.24038565158844
00:00:06;2373.09074783325;28.6078796386719;-80.6039352416992;0.2666135430336;2.29372472450144;97.7892227172852;3.88999660572154E-06;701.317634343378;130.467666935684;0.00164702825713903;-0.0154158584773541;0.00246809399686754;-0.174366593360901;-0.0864403322339058;-0.0102940909564495;2.15739073401792;273.641174316406;0.96933870289416;76142.4102783203;52.9662227630615;93.6553371149702;47.2694933548198;4.86795810612017;76.2958908081055;291.034528918291;-8.32002351001858;-4.69855853095788;-2.23484264240417;2.08607231833746;0.00134133024006647;0.289934927917725;231.369787028318;0.167120533524729;0.000679793972580849;-0.00396011525259698;-10.0662441253662;-4.9281907081604;-0.361181408166885
00:00:08;3820.7365273051;28.6075553894043;-80.606689453125;0.158892348408699;1.65396540690888;97.5604858398438;-9.72496081885765E-07;627.549547087384;119.167534594737;0.00136470212601125;-0.00271378853358328;0.00142718327697366;-0.0508519858121872;-0.0227137338370085;-0.003257927717641;1.95248106242894;266.023559570313;0.832685840009113;63587.3756408691;4.57632160186768;-41.2253095879019;-21.2904938509455;-4.09198299891163;63.7049407958984;294.570756490485;-8.31637812470472;-4.69637613124068;-2.23343510310055;1.93858986966942;-2.09042149238966E-05;0.241737145749601;168.304854232581;0.056603998333583;0.00120178270685144;-0.00122131059038508;-2.0528130531311;-1.03758907318115;-0.114190712571144
00:00:09;4476.37434269395;28.6074066162109;-80.6079635620117;0.156803995370865;1.44876226207625;97.561767578125;0;610.516106280458;117.977642160381;0.00165061035659164;-0.00127000897191465;0.00168894696980715;-0.024617912247777;-0.00895335897803307;-0.00195118912961334;1.9146303919819;262.214599609375;0.777232099168414;58502.8762817383;4.5741982460022;-12.885594479623;-7.01919665959368;-2.50847202133649;58.6099815368652;296.177039819306;-8.31472917863996;-4.69538793040681;-2.23279393449739;1.89156842656841;-2.2000154390049E-05;0.241821330720295;147.122662689143;0.056603998333583;0.000476121693980808;-0.000944619664577519;-1.79605782032013;-0.906069934368134;-0.0933748856186867
00:00:10;5116.0590681294;28.6072597503662;-80.6092300415039;0.154715642333031;1.29553896488226;97.5644836425781;9.7249335340166E-07;597.261826402628;117.499133967324;0.00172780000139028;-0.000633219024166465;0.00171859690453857;-0.0129907559603453;-0.00299767660908401;-0.00136277882847935;1.8884312763894;258.353637695313;0.726399484146406;53871.58203125;4.5710277557373;-9.83337720580728;-5.48265498289525;-2.3443632589791;53.9697608947754;297.634781451239;-8.31312190368623;-4.69442367558912;-2.2321654256901;1.86405738907096;-3.38862915950674E-05;0.241839474949094;131.533891066798;0.056603998333583;0.000419112006165795;-0.000867095881485647;-1.60675895214081;-0.80894660949707;-0.077663280069828
