Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,110.31,11.94,107.47,26.16,,0.21,78.49,,-88.46,0,0.29,,154.68,11.23,28.60839,-80.59986,,,,,,,,,,,,99.54,293.97,
2,222.1,12.55,113.56,26.2,,0.2,77.76,,-85.09,0,0.61,,317.89,45.83,28.60839,-80.60022,,,,,,,,,,,,97.66,293.11,
3,336.94,12.63,114.32,26.27,,0.19,77.31,,-82.16,0,0.95,,592.02,106.63,28.60839,-80.60084,,,,,,,,,,,,94.55,324.49,
4,433.63,10.4,92.51,26.34,,0.17,76.98,,-82.38,0,1.24,,969.99,193.01,28.60838,-80.60173,,,,,,,,,,,,90.4,423.32,
5,534.45,11.4,102.26,26.41,,0.16,76.71,,-87,0,1.54,,1441.76,303.39,28.60837,-80.60286,,,,,,,,,,,,85.43,523.27,
6,632.08,10.7,95.39,26.46,,0.15,76.48,,-92.59,0,1.84,,2010.66,439.08,28.60836,-80.60425,,,,,,,,,,,,79.74,621.7,
7.02,667.63,4.55,54.17,0,,0.14,76.26,,-97.92,0,2.02,,2675.06,600.2,28.60834,-80.6059,,,,,,,,,,,,73.5,677.23,
8.04,589.42,6.41,72.44,0,,0.09,76.04,,-107.91,0,1.79,,3295.5,753.07,28.60833,-80.60746,,,,,,,,,,,,68.04,597.13,
9.04,528.22,4.84,56.99,0,,0.09,75.78,,-112.72,0,1.61,,3835.75,888.59,28.60831,-80.60885,,,,,,,,,,,,63.57,534.3,
10.04,478.96,3.77,46.52,0,,0.09,75.49,,-115.18,0,1.47,,4322.35,1013.11,28.6083,-80.61013,,,,,,,,,,,,59.75,483.95,
11.04,437.15,3.15,40.41,0,,0.09,75.17,,-116.54,0,1.34,,4764.66,1128.8,28.60829,-80.61131,,,,,,,,,,,,56.45,441.56,
12.04,396.83,3.18,40.67,0,,0.09,74.82,,-117.33,0,1.23,,5167.11,1236.59,28.60828,-80.61242,,,,,,,,,,,,53.58,401.31,
13.06,356.39,2.98,38.7,0,,0.09,74.4,,-117.84,0,1.11,,5536.82,1338.28,28.60827,-80.61346,,,,,,,,,,,,51.05,360.56,
14.06,324.08,1.97,28.88,0,,0.09,73.94,,-118.16,0,1.01,,5862.91,1430.64,28.60826,-80.6144,,,,,,,,,,,,48.9,327.07,
15.08,301.66,1.05,19.88,0,,0.09,73.42,,-118.39,0,0.94,,6168.31,1519.98,28.60825,-80.61532,,,,,,,,,,,,46.96,303.75,
16.08,284.73,0.7,16.42,0,,0.09,72.86,,-118.54,0,0.89,,6448.52,1604.84,28.60824,-80.61619,,,,,,,,,,,,45.23,286.48,
17.1,269.31,0.55,15,0,,0.09,72.23,,-118.66,0,0.84,,6717.8,1689.45,28.60823,-80.61705,,,,,,,,,,,,43.62,270.91,
18.1,255.42,0.44,13.93,0,,0.09,71.56,,-118.74,0,0.8,,6966.95,1770.84,28.60822,-80.61789,,,,,,,,,,,,42.18,256.9,
