Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,82.61,9.16,80.28,26.16,,0.28,78,,-86.99,0,0.21,,141.1,8.68,28.60839,-80.59983,,,,,,,,,,,,99.69,294,
2.02,167.29,9.56,84.24,26.19,,0.27,77.02,,-79.56,0,0.46,,265.96,36.61,28.60838,-80.60012,,,,,,,,,,,,98.25,293.35,
3.04,255.61,9.88,87.44,26.24,,0.25,76.38,,-71.55,0,0.72,,476.42,86.59,28.60838,-80.60063,,,,,,,,,,,,95.84,292.2,
4.06,344.27,9.71,85.77,26.31,,0.24,75.92,,-62.33,0,0.98,,774.59,160.3,28.60838,-80.60139,,,,,,,,,,,,92.51,335.05,
5.06,417.62,8.18,70.76,26.37,,0.23,75.56,,-55.53,0,1.2,,1145.33,254.67,28.60837,-80.60235,,,,,,,,,,,,88.51,409.79,
6.08,495.69,9.06,79.4,26.43,,0.21,75.24,,-53.45,0,1.44,,1596,372.18,28.60836,-80.60356,,,,,,,,,,,,83.84,486.93,
7.08,527.26,3.08,39.75,0,,0.2,74.97,,-50.04,0.01,1.58,,2104.78,507.53,28.60834,-80.60494,,,,,,,,,,,,78.81,532.15,
8.08,489.43,2.63,35.33,0,,0.16,74.68,,-55.15,0,1.47,,2594.22,640.26,28.60833,-80.6063,,,,,,,,,,,,74.2,493.24,
9.08,475.35,0.57,4.65,4.58,,0.16,74.35,,-57.91,0,1.42,,3055.7,768.09,28.60831,-80.60761,,,,,,,,,,,,70.08,475.75,
10.1,472.52,0.72,3.6,4.58,,0.16,74.02,,-59.34,0,1.42,,3520.65,899.76,28.6083,-80.60896,,,,,,,,,,,,66.13,472.75,
