Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1.02,116.18,12.34,111.25,52.09,,0.41,84.23,,-80.95,0,0.3,,160.08,6.01,28.60839,-80.59981,,,,,,,,,,,,99.48,293.06,
2.04,234.66,13.05,118.2,52.18,,0.38,83.9,,-51.82,0,0.65,,338.64,24.63,28.60839,-80.6,,,,,,,,,,,,97.42,292.15,
3.06,354.6,12.75,115.32,52.32,,0.36,83.69,,-6,0,1,,639.19,57.38,28.60838,-80.60033,,,,,,,,,,,,94.03,342.23,
4.1,462.16,11.61,104.1,52.47,,0.33,83.53,,52.37,0,1.32,,1062.39,104.87,28.60838,-80.60082,,,,,,,,,,,,89.41,450.5,
5.12,572.99,12.04,108.32,52.61,,0.3,83.4,,116.39,0,1.66,,1588.02,165.15,28.60837,-80.60144,,,,,,,,,,,,83.94,561.13,
6.12,678.55,11.62,104.28,52.71,,0.28,83.29,,-174.9,0,1.98,,2210.97,237.86,28.60837,-80.60218,,,,,,,,,,,,77.82,667.14,
7.12,706.12,7.6,84.22,0,,0.26,83.19,,-109.29,0,2.14,,2921.26,322.07,28.60836,-80.60304,,,,,,,,,,,,71.31,715.65,
8.16,647.19,3.73,46.3,0,,0.17,83.08,,-87.22,0,1.96,,3615.57,405.68,28.60835,-80.6039,,,,,,,,,,,,65.38,652.19,
9.16,624.55,0.49,14.57,4.55,,0.17,82.96,,-77.11,0,1.9,,4243.6,482.56,28.60834,-80.60469,,,,,,,,,,,,60.38,626.1,
10.16,612.2,0.18,11.54,4.55,,0.16,82.85,,-72.15,0,1.87,,4856.87,558.87,28.60833,-80.60547,,,,,,,,,,,,55.81,613.42,
11.18,602.41,0.09,8.91,4.55,,0.16,82.72,,-69.55,0,1.85,,5471.09,636.6,28.60833,-80.60627,,,,,,,,,,,,51.53,603.34,
12.18,595.17,0.32,6.72,4.54,,0.16,82.6,,-68.18,0,1.84,,6064.72,713.02,28.60832,-80.60705,,,,,,,,,,,,47.65,595.86,
13.18,589.96,0.51,4.82,4.54,,0.16,82.47,,-67.41,0,1.84,,6652.04,789.94,28.60831,-80.60784,,,,,,,,,,,,44.05,590.44,
14.2,586.49,0.69,3.17,4.54,,0.16,82.34,,-66.96,0,1.84,,7246.58,869.17,28.6083,-80.60865,,,,,,,,,,,,40.64,586.78,
15.2,584.7,0.85,1.9,4.53,,0.15,82.2,,-66.7,0,1.85,,7826.71,947.86,28.60829,-80.60945,,,,,,,,,,,,37.52,584.83,
16.2,584.34,0.99,1.37,4.53,,0.15,82.07,,-66.54,0,1.86,,8405.61,1027.76,28.60828,-80.61027,,,,,,,,,,,,34.6,584.31,
17.22,585.32,1.12,1.94,4.53,,0.15,81.93,,-66.44,0,1.88,,8996.22,1110.72,28.60826,-80.61112,,,,,,,,,,,,31.82,585.15,
18.24,587.57,1.25,2.94,4.52,,0.15,81.78,,-66.38,0,1.9,,9588.27,1195.38,28.60825,-80.61199,,,,,,,,,,,,29.22,587.27,
19.26,591.03,1.37,4,4.52,,0.15,81.64,,-66.35,0,1.93,,10183,1281.95,28.60824,-80.61288,,,,,,,,,,,,26.79,590.6,
20.28,595.64,1.48,5.08,4.52,,0.14,81.49,,-66.33,0,1.96,,10781.6,1370.62,28.60823,-80.61379,,,,,,,,,,,,24.51,595.09,
21.28,601.26,1.59,6.13,4.51,,0.14,81.35,,-66.32,0,1.99,,11373.31,1459.8,28.60821,-80.6147,,,,,,,,,,,,22.43,600.59,
22.3,608.1,1.7,7.2,4.51,,0.14,81.2,,-66.32,0,2.03,,11982.91,1553.26,28.6082,-80.61566,,,,,,,,,,,,20.44,607.31,
23.3,615.89,1.81,8.25,4.51,,0.14,81.05,,-66.32,0,2.07,,12587.56,1647.55,28.60818,-80.61662,,,,,,,,,,,,18.62,615,
24.32,624.92,1.92,9.31,4.51,,0.14,80.9,,-66.33,0,2.12,,13212.52,1746.65,28.60817,-80.61764,,,,,,,,,,,,16.89,623.96,
25.32,634.82,2.02,10.34,4.51,,0.13,80.75,,-66.34,0,2.16,,13834.34,1846.89,28.60815,-80.61866,,,,,,,,,,,,15.31,633.86,
26.34,645.99,2.13,11.39,4.51,,0.13,80.6,,-66.35,0,2.22,,14478.94,1952.51,28.60814,-80.61975,,,,,,,,,,,,13.81,645.13,
27.36,658.25,2.24,12.45,4.5,,0.13,80.45,,-66.36,0,2.27,,15135.06,2061.75,28.60812,-80.62086,,,,,,,,,,,,12.42,657.65,
28.36,671.33,2.35,13.5,4.5,,0.13,80.31,,-66.38,0,2.32,,15790.54,2172.62,28.6081,-80.622,,,,,,,,,,,,11.17,671.18,
29.36,685.49,2.46,14.58,4.5,,0.13,80.16,,-66.39,0,2.38,,16459.17,2287.44,28.60808,-80.62318,,,,,,,,,,,,10.01,686.01,
30.36,700.75,2.57,15.69,4.5,,0.12,80.02,,-66.41,0,2.43,,17142,2406.46,28.60806,-80.62439,,,,,,,,,,,,8.95,702.2,
31.38,717.47,2.68,16.83,4.5,,0.12,79.87,,-66.42,0,2.48,,17854.24,2532.45,28.60804,-80.62568,,,,,,,,,,,,7.97,720.18,
32.4,735.36,2.8,17.98,4.5,,0.12,79.73,,-66.43,0,2.54,,18583.54,2663.34,28.60802,-80.62703,,,,,,,,,,,,7.08,739.71,
33.4,754.05,2.92,19.11,4.5,,0.12,79.59,,-66.44,0,2.59,,19316.23,2796.7,28.60799,-80.62839,,,,,,,,,,,,6.28,760.46,
34.4,773.88,3.03,20.25,4.5,,0.12,79.45,,-66.45,0,2.65,,20067.54,2935.31,28.60797,-80.62981,,,,,,,,,,,,5.57,782.89,
35.4,794.84,3.15,21.39,4.5,,0.11,79.31,,-66.46,0,2.71,,20838.57,3079.46,28.60795,-80.63129,,,,,,,,,,,,4.92,807.16,
36.42,817.41,3.27,22.55,4.5,,0.11,79.17,,-66.48,0,2.77,,21646.48,3232.48,28.60792,-80.63285,,,,,,,,,,,,4.33,834.04,
37.42,840.68,3.38,23.69,4.5,,0.11,79.04,,-66.49,0,2.84,,22460.72,3388.65,28.60789,-80.63445,,,,,,,,,,,,3.81,862.67,
38.42,865.09,3.5,24.83,4.5,,0.11,78.91,,-66.5,0,2.91,,23298,3551.22,28.60786,-80.63612,,,,,,,,,,,,3.34,893.79,
39.42,890.66,3.61,25.99,4.5,,0.11,78.78,,-66.51,0,2.99,,24159.44,3720.46,28.60783,-80.63785,,,,,,,,,,,,2.92,927.65,
40.42,917.39,3.73,27.16,4.5,,0.1,78.66,,-66.52,0,3.06,,25046.16,3896.68,28.6078,-80.63966,,,,,,,,,,,,2.55,964.52,
41.44,945.88,3.86,28.37,4.5,,0.1,78.53,,-66.53,0,3.15,,25977.83,4083.94,28.60777,-80.64158,,,,,,,,,,,,2.21,1005.55,
42.46,975.61,3.98,29.6,4.5,,0.1,78.41,,-66.54,0,3.23,,26938.19,4279.1,28.60773,-80.64357,,,,,,,,,,,,1.91,1050.37,
43.46,1006,4.11,30.83,4.5,,0.1,78.29,,-66.55,0,3.32,,27908.77,4478.43,28.6077,-80.64562,,,,,,,,,,,,1.65,1098.33,
44.46,1037.64,4.23,32.08,4.5,,0.1,78.17,,-66.56,0,3.41,,28909.3,4686.02,28.60766,-80.64774,,,,,,,,,,,,1.42,1150.6,
45.46,1070.55,4.36,33.36,4.5,,0.09,78.06,,-66.57,0,3.5,,29941,4902.19,28.60762,-80.64996,,,,,,,,,,,,1.22,1207.46,
46.48,1105.46,4.5,34.71,4.5,,0.09,77.95,,-66.58,0,3.6,,31026.74,5131.89,28.60758,-80.65231,,,,,,,,,,,,1.04,1270.62,
47.48,1141.05,4.64,36.06,4.5,,0.09,77.84,,-66.59,0,3.69,,32125.23,5366.47,28.60754,-80.65471,,,,,,,,,,,,0.89,1338.18,
48.5,1178.77,4.78,37.47,4.5,,0.09,77.73,,-66.6,0,3.79,,33281.77,5615.68,28.60749,-80.65726,,,,,,,,,,,,0.75,1413.31,
49.5,1217.17,4.93,38.89,4.5,,0.09,77.62,,-66.61,0,3.9,,34452.38,5870.13,28.60745,-80.65987,,,,,,,,,,,,0.64,1493.4,
50.5,1231.97,0.25,12.13,0,,0.08,77.52,,-66.62,0,3.94,,35654.65,6133.66,28.6074,-80.66257,,,,,,,,,,,,0.54,1532.54,
51.52,1220.15,0.2,11.66,0,,0.08,77.42,,-66.62,0,3.88,,36875.28,6403.46,28.60735,-80.66533,,,,,,,,,,,,0.45,1494.05,
52.54,1208.76,0.16,11.27,0,,0.08,77.31,,-66.63,0,3.82,,38083.86,6672.88,28.60731,-80.66809,,,,,,,,,,,,0.39,1458.38,
53.54,1197.94,0.13,10.96,0,,0.08,77.2,,-66.64,0,3.77,,39257.43,6936.73,28.60726,-80.67079,,,,,,,,,,,,0.33,1425.8,
54.54,1187.39,0.11,10.7,0,,0.08,77.1,,-66.65,0,3.71,,40420.09,7200.36,28.60721,-80.67349,,,,,,,,,,,,0.28,1395.33,
55.54,1177.09,0.08,10.48,0,,0.08,76.99,,-66.66,0,3.66,,41572.09,7463.82,28.60716,-80.67619,,,,,,,,,,,,0.24,1366.78,
56.54,1166.98,0.07,10.32,0,,0.08,76.87,,-66.67,0,3.61,,42713.63,7727.16,28.60712,-80.67889,,,,,,,,,,,,0.21,1340.05,
57.54,1156.97,0.06,10.23,0,,0.08,76.76,,-66.68,0,3.56,,43844.87,7990.4,28.60707,-80.68158,,,,,,,,,,,,0.18,1315.07,
58.54,1147.05,0.05,10.16,0,,0.08,76.64,,-66.68,0,3.51,,44965.88,8253.57,28.60702,-80.68428,,,,,,,,,,,,0.16,1291.83,
59.56,1137.01,0.04,10.09,0,,0.08,76.52,,-66.69,0,3.47,,46098.85,8521.94,28.60697,-80.68703,,,,,,,,,,,,0.13,1269.85,
60.56,1127.23,0.04,10.04,0,,0.08,76.41,,-66.7,0,3.43,,47199.42,8785,28.60693,-80.68972,,,,,,,,,,,,0.12,1249.91,
61.58,1117.31,0.03,9.99,0,,0.08,76.28,,-66.71,0,3.4,,48311.66,9053.28,28.60688,-80.69247,,,,,,,,,,,,0.1,1231.14,
