TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ
00:00:00;87.5527600013884;-0.0972078219056129;-74.5576858520508;0.297488063573837;3.58719876828716E-12;179.331726074219;-1.35069831230794E-06;0.491512937526693;0.0909755511485362;4.66442033939529E-05;0.000494431471452117;0.00488064391538501;-0.00651770643889904;0.00163641828112304;0.00444794679060578
00:00:00;128.45324221591;-0.0979787036776543;-74.5576934814453;0.283905237913132;0.0279620858062731;179.188323974609;-1.08055883174529E-06;78.780946157369;15.8362999510862;-0.0838820412755013;-0.0174042843282223;0.00713160634040833;0.234539330005646;0.0494180880486965;-0.100112617015839
00:00:02;250.876870349282;-0.100511327385902;-74.5577239990234;0.270322442054749;0.129375294236109;179.161651611328;2.70139707936323E-07;160.338526243105;35.8562365172385;-0.0258714482188225;-0.0373455062508583;0.0124606732279062;0.460484802722931;0.121686793863773;-0.298121124505997
00:00:03;458.354164817953;-0.105079166591167;-74.5577850341797;0.256739646196365;0.308359761092222;179.223937988281;-2.79144387604902E-06;245.291905290571;57.7863209620743;-0.00605253782123327;-0.0475163161754608;0.0140656037256122;0.583408296108246;0.166778564453125;-0.393137216567993
00:00:04;753.278118405258;-0.111837469041348;-74.5578765869141;0.243156835436821;0.555532863234214;179.174072265625;-4.83583676214039E-07;331.012460689702;80.6974785309273;0.0064969933591783;-0.0644417852163315;0.00943825487047434;0.790705025196075;0.236206516623497;-0.540199875831604
00:00:05;1130.60276357317;-0.120734229683876;-74.5580139160156;0.229574039578438;0.810525255162985;179.082412719727;-4.30222854674867E-07;404.750961792932;101.292876113529;0.00931804347783327;-0.0706716105341911;-0.000613008334767073;0.879675269126892;0.269898951053619;-0.604159951210022
00:00:06;1580.93846915499;-0.131599321961403;-74.5582046508789;0.215991228818893;1.07671560252784;178.977569580078;2.51130177275627E-06;478.497231975206;122.401344017071;0.00174350896850228;-0.0763423517346382;-0.0075224544852972;0.955310881137848;0.300489842891693;-0.658738970756531
00:00:08;2619.56849794509;-0.157372161746025;-74.5587387084961;0.158914983272552;0.980125313785671;178.659210205078;9.93849653241341E-07;474.236214329019;126.109904742387;-0.00359573261812329;-0.0266309920698404;-0.000625255750492215;0.446617543697357;0.144449472427368;-0.305948972702026
00:00:09;3101.61959503102;-0.16967798769474;-74.5590438842773;0.156905427575111;0.903628029682851;178.518707275391;2.44126954385138E-06;471.286161224489;127.873966573184;-0.00312705268152058;-0.0139081683009863;0.00223398837260902;0.233980506658554;0.0782227590680122;-0.157419472932816
00:00:10;3581.44800418487;-0.182166591286659;-74.5593795776367;0.154895886778831;0.847142266182326;178.380813598633;9.53830067373929E-07;469.822524484276;130.087606686527;-0.002725999802351;-0.00756946066394448;0.00296261836774647;0.12848174571991;0.043722253292799;-0.0834912657737732
00:00:11;4060.48647385917;-0.194879442453384;-74.5597534179688;0.15288633108139;0.798458783172803;178.249725341797;-4.73580286097786E-07;469.687111607478;132.717800595643;-0.00239356001839042;-0.00427567679435015;0.00330618349835277;0.0737287700176239;0.0254827179014683;-0.0451259426772594
00:00:12;4540.01772979589;-0.207855001091957;-74.5601654052734;0.15087679028511;0.755990185989126;178.122406005859;1.01386274309334E-06;470.744848662072;135.738399665624;-0.00217878981493413;-0.00249878177419305;0.00350134866312146;0.0442501716315746;0.0154866091907024;-0.0244193021208048
00:00:13;5021.19726593408;-0.221129417419434;-74.5606155395508;0.148867249488831;0.718466671339612;177.998504638672;1.90766468222137E-06;472.880281470993;139.128877459426;-0.002048997906968;-0.00150517176371068;0.00362778827548027;0.0278097614645958;0.00980814639478922;-0.0128213195130229
00:00:14;5505.07132820296;-0.234736904501915;-74.5611038208008;0.146857693791389;0.68486137245756;177.877655029297;-3.788652293224E-06;475.993857854548;142.872045730686;-0.00196909322403371;-0.000931953545659781;0.00371676380746067;0.0183532536029816;0.0064839031547308;-0.00611401675269008
00:00:15;5992.5918244546;-0.248710036277771;-74.561637878418;0.14484815299511;0.654331545154283;177.759567260742;2.30787873078953E-06;479.999586923559;146.953412138853;-0.00191711646039039;-0.000592357711866498;0.00375635595992208;0.0127565553411841;0.00447033206000924;-0.00215468625538051
00:00:16;6484.62958455796;-0.26308000087738;-74.5622177124023;0.142838597297668;0.626181999943566;177.644241333008;1.01386694950634E-06;484.824193918994;151.360716585848;-0.00188251223880798;-0.000385748862754554;0.00379911228083074;0.00936694443225861;0.00323852407746017;0.000272925186436623
00:00:17;6981.98912210704;-0.277876853942871;-74.5628433227539;0.140829056501389;0.599849046104135;177.53141784668;1.33403693780565E-06;490.413436621672;156.086605900718;-0.00185615476220846;-0.000255818944424391;0.0038183513097465;0.0072347279638052;0.00244821235537529;0.00179060141090304
00:00:18;7485.43615683226;-0.293130338191986;-74.5635147094727;0.138819515705109;0.574905167203693;177.421005249023;1.93435607798165E-06;496.743741464089;161.132370964013;-0.0018354196799919;-0.000172745974850841;0.00382916699163616;0.00587218534201384;0.00193657004274428;0.00275872624479234
00:00:19;7995.72153348313;-0.30887034535408;-74.5642395019531;0.136809960007668;0.551001280204672;177.313018798828;1.41408315812441E-06;503.807567011826;166.503943390348;-0.00181270146276802;-0.000118423376989085;0.0038311374373734;0.00497527979314327;0.00160195596981794;0.0033837053924799
