TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ
00:00:00;98.3099830951542;28.6083869934082;-80.5997467041016;0.297465413808823;3.91975969429652E-12;179.967788696289;-2.91751143777219E-06;0.491651697074047;0.0909732722036023;0.000374496070435271;0.00049716787179932;0.00489454576745629;0.00573793891817331;0.00524695031344891;0.00228344835340977
00:00:00;139.185180817731;28.6083126068115;-80.5997467041016;0.283882617950439;0.0297932172544884;179.91911315918;9.72503244156542E-07;78.7235379665528;15.8951449663279;-0.0838065072894096;-0.0169969871640205;0.00571690639480948;-0.206084981560707;-0.0756452456116676;-0.127540603280067
00:00:01;261.494948983192;28.6080741882324;-80.5997467041016;0.270299822092056;0.138147442481349;179.98762512207;0;160.162706189921;36.0169235531444;-0.0280147530138493;-0.0356976129114628;0.0114345625042915;-0.479716897010803;-0.150202110409737;-0.190067276358604
00:00:02;468.658516252413;28.6076412200928;-80.5997467041016;0.256716996431351;0.330341100590854;-179.856536865234;-1.94499398276093E-06;244.800266389836;58.0642787443295;-0.00796948932111263;-0.0453163497149944;0.0134779633954167;-0.62316906452179;-0.182653918862343;-0.232271537184715
00:00:04;762.645319920965;28.6070022583008;-80.599739074707;0.243134200572968;0.596544476489111;-179.796768188477;0;329.407910541825;80.9418342030328;0.00469065364450216;-0.0610933490097523;0.0104273585602641;-0.849793612957001;-0.239031702280045;-0.310637712478638
00:00:05;1136.65045145899;28.6061630249023;-80.599739074707;0.229551404714584;0.867014582538189;-179.767440795898;-1.94496647054621E-06;400.315910640177;101.050575136004;0.0092927860096097;-0.0650144889950752;0.00120893085841089;-0.922375619411469;-0.252488166093826;-0.3353211581707
00:00:06;1581.78616498504;28.6051406860352;-80.5997314453125;0.215968608856201;1.16148841551115;-179.778625488281;2.91742162517039E-06;472.653454787409;122.040702672822;0.00462239934131503;-0.0694685578346252;-0.00672307284548879;-0.9953253865242;-0.266114175319672;-0.360555946826935
00:00:08;2602.89205149841;28.6027202606201;-80.599723815918;0.158892348408699;1.06021621206075;-179.874069213867;-6.80716038914397E-06;463.625413137104;124.776341698993;-0.00335375848226249;-0.0226436946541071;-7.18299124855548E-05;-0.435264974832535;-0.109862141311169;-0.15951769053936
00:00:09;3073.12227691803;28.6015701293945;-80.599723815918;0.156882792711258;0.979470642079631;-179.925018310547;3.88976332033053E-06;458.752104255597;126.156896668429;-0.00417433213442564;-0.0110003622248769;-0.000291985139483586;-0.210369795560837;-0.0529047958552837;-0.0808598399162292
00:00:10;3539.15439276304;28.6004047393799;-80.599723815918;0.154873251914978;0.920949467954832;-179.969680786133;0;455.338936563965;127.987082299495;-0.00417296402156353;-0.00555801205337048;0.000530534132849425;-0.105539672076702;-0.0259143002331257;-0.0435301549732685
00:00:11;4002.39357457962;28.5992221832275;-80.599723815918;0.152863711118698;0.87122574628952;179.985305786133;6.80693347021588E-06;453.225893113034;130.230568927974;-0.00421252520754933;-0.00291012204252183;0.000914411502890289;-0.0544134415686131;-0.013121877796948;-0.025471230968833
00:00:12;4464.09397383314;28.598014831543;-80.599723815918;0.150854155421257;0.828613061957068;179.942031860352;1.94481572179939E-06;452.278915002575;132.864057418762;-0.00425290316343308;-0.0015734190819785;0.00113316008355469;-0.0285535231232643;-0.00680318847298622;-0.0163991432636976
00:00:13;4925.38539563771;28.5967826843262;-80.599723815918;0.148844614624977;0.79178394285801;179.900009155273;1.94479275705817E-06;452.386523128146;135.8696891628;-0.0042924121953547;-0.000876207777764648;0.00125640968326479;-0.0150351375341415;-0.00358934537507594;-0.011696195229888
00:00:14;5387.29302256275;28.5955219268799;-80.5997314453125;0.146835058927536;0.759667111221283;179.859268188477;3.88953912988654E-06;453.453981866191;139.233361433827;-0.00433970429003239;-0.000500179303344339;0.00133867049589753;-0.00772157078608871;-0.00189270928967744;-0.00919892452657223
00:00:15;5850.7523221001;28.5942287445068;-80.5997314453125;0.144825518131256;0.731388537254603;179.819778442383;9.72372845353675E-07;455.399304260871;142.943646452602;-0.00438439752906561;-0.000292446551611647;0.00139034073799849;-0.00366606772877276;-0.000980977318249643;-0.00784565322101116
00:00:16;6316.62051494978;28.5929012298584;-80.599739074707;0.142815977334976;0.706221403244759;179.781295776367;1.9447211343504E-06;458.150475752791;146.99092264468;-0.00442708190530539;-0.000174662345671095;0.00142794032581151;-0.00135491066612303;-0.000475176319014281;-0.00710418447852135
00:00:17;6785.6857590545;28.5915336608887;-80.5997467041016;0.140806421637535;0.683553066846619;179.743988037109;0;461.643718300953;151.366908902906;-0.00446610292419791;-0.000105994527984876;0.00145531713496894;1.5035730029922E-06;-0.000187602054211311;-0.00669281650334597
00:00:18;7258.67491119541;28.590124130249;-80.5997543334961;0.138796880841255;0.662937221011314;179.707717895508;0;465.822128208438;156.064467988452;-0.00449407426640391;-6.57484561088495E-05;0.00147561030462384;0.000800380483269691;-2.08813798963092E-05;-0.00646141171455383
00:00:19;7736.25773698837;28.5886707305908;-80.5997619628906;0.136787325143814;0.644302243133858;179.672424316406;0;470.629051954003;161.075294965684;-0.00451894663274288;-4.0926766814664E-05;0.00148859701585025;0.00129808078054339;7.64358701417223E-05;-0.00632971897721291
00:00:20;8219.04588001501;28.5871715545654;-80.5997695922852;0.134777784347534;0.627195111858868;179.638031005859;2.91692276732647E-06;476.009052551014;166.390417064672;-0.00453072553500533;-2.53801554208621E-05;0.00149654096458107;0.00160895253065974;0.000136520495289005;-0.00624431204050779
