Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
1,97.06,10.61,94.46,26.16,,0.24,78.29,,-87.83,0,0.25,,147.74,10.01,28.60839,-80.59985,,,,,,,,,,,,99.62,294.01,
2,195.05,11.12,99.5,26.2,,0.23,77.46,,-82.79,0,0.54,,291.03,41.07,28.60839,-80.60017,,,,,,,,,,,,97.97,293.26,
3,296.82,11.4,102.25,26.26,,0.21,76.94,,-77.68,0,0.83,,531.66,95.93,28.60839,-80.60073,,,,,,,,,,,,95.23,291.93,
4,390.49,9.69,85.49,26.32,,0.2,76.57,,-73.09,0,1.12,,869.07,175.5,28.60838,-80.60155,,,,,,,,,,,,91.49,381.43,
5,475.72,10.03,88.92,26.39,,0.19,76.26,,-73.89,0,1.37,,1289.94,277.34,28.60837,-80.60259,,,,,,,,,,,,86.99,465.74,
6,566.54,10.12,89.77,26.44,,0.18,76,,-76.07,0,1.65,,1796.99,402.63,28.60836,-80.60387,,,,,,,,,,,,81.83,556.74,
7,606.92,2.04,29.61,0,,0.17,75.77,,-77.39,0.01,1.83,,2382.2,549.82,28.60834,-80.60538,,,,,,,,,,,,76.19,614.16,
8.02,549.52,4.36,52.28,0,,0.12,75.52,,-84.75,0,1.66,,2951.77,695.51,28.60833,-80.60687,,,,,,,,,,,,71,555.12,
9.02,526.03,0.29,7.12,4.58,,0.12,75.24,,-88.39,0,1.58,,3467,829.86,28.60831,-80.60825,,,,,,,,,,,,66.58,526.72,
10.02,521.25,0.55,4.81,4.58,,0.11,74.95,,-90.21,0,1.57,,3972.77,964.41,28.6083,-80.60963,,,,,,,,,,,,62.47,521.66,
11.02,518.78,0.77,3.23,4.57,,0.11,74.66,,-91.16,0,1.57,,4474.4,1100.58,28.60828,-80.61102,,,,,,,,,,,,58.61,518.95,
12.04,518.29,0.97,2.71,4.57,,0.11,74.35,,-91.69,0,1.58,,4983.91,1241.75,28.60826,-80.61247,,,,,,,,,,,,54.89,518.25,
13.06,519.58,1.14,3.27,4.57,,0.11,74.04,,-91.98,0,1.59,,5493.08,1385.77,28.60825,-80.61394,,,,,,,,,,,,51.37,519.36,
14.08,522.43,1.29,4.28,4.57,,0.11,73.73,,-92.14,0,1.61,,6003.52,1533.16,28.60823,-80.61545,,,,,,,,,,,,48.03,522.06,
15.08,526.59,1.42,5.36,4.56,,0.1,73.41,,-92.24,0,1.63,,6506.54,1681.38,28.60821,-80.61697,,,,,,,,,,,,44.91,526.07,
16.08,531.98,1.54,6.43,4.56,,0.1,73.1,,-92.3,0,1.66,,7013.33,1833.73,28.6082,-80.61853,,,,,,,,,,,,41.94,531.33,
17.08,538.51,1.65,7.47,4.56,,0.1,72.78,,-92.33,0,1.69,,7524.98,1990.61,28.60818,-80.62014,,,,,,,,,,,,39.11,537.74,
18.08,546.1,1.76,8.46,4.55,,0.1,72.46,,-92.35,0,1.73,,8042.51,2152.42,28.60816,-80.6218,,,,,,,,,,,,36.4,545.21,
19.1,554.89,1.86,9.44,4.55,,0.1,72.14,,-92.37,0,1.77,,8577.42,2322.96,28.60814,-80.62354,,,,,,,,,,,,33.77,553.89,
20.1,564.52,1.96,10.41,4.55,,0.09,71.82,,-92.37,0,1.81,,9109.66,2495.93,28.60812,-80.62532,,,,,,,,,,,,31.31,563.42,
21.12,575.4,2.06,11.43,4.54,,0.09,71.49,,-92.38,0,1.86,,9661.47,2678.68,28.6081,-80.62719,,,,,,,,,,,,28.91,574.17,
22.14,587.38,2.18,12.51,4.54,,0.09,71.17,,-92.38,0,1.91,,10223.29,2868.27,28.60807,-80.62913,,,,,,,,,,,,26.63,586.03,
23.14,600.28,2.29,13.66,4.54,,0.09,70.85,,-92.38,0,1.97,,10784.81,3061.23,28.60805,-80.63111,,,,,,,,,,,,24.5,598.8,
24.16,614.75,2.43,14.97,4.54,,0.09,70.53,,-92.37,0,2.04,,11369.63,3265.81,28.60803,-80.6332,,,,,,,,,,,,22.44,613.12,
